"Titulo","Tipo","Tipo_redux"
"009680","Carris Metropolitana","Mensal"
"009688","Carris Metropolitana","Mensal"
"007711","Carris Metropolitana","Mensal"
"006213","Carris Metropolitana","Mensal"
"006216","Carris Metropolitana","Mensal"
"009690","Carris Metropolitana","Mensal"
"006217","Carris Metropolitana","Mensal"
"009686","Carris Metropolitana","Mensal"
"009681","Carris Metropolitana","Mensal"
"000438","Combinado Mensal","Mensal"
"000028","Combinado Mensal","Mensal"
"000437","Combinado Mensal","Mensal"
"000453","Combinado Mensal","Mensal"
"000436","Combinado Mensal","Mensal"
"000457","Combinado Mensal","Mensal"
"000713","Combinado Mensal","Mensal"
"000600","Combinado Mensal","Mensal"
"000850","Combinado Mensal","Mensal"
"000452","Combinado Mensal","Mensal"
"000456","Combinado Mensal","Mensal"
"000455","Combinado Mensal","Mensal"
"000451","Combinado Mensal","Mensal"
"033581","Diario","Ocasional"
"032805","Diario","Ocasional"
"033583","Diario","Ocasional"
"032806","Diario","Ocasional"
"032804","Diario","Ocasional"
"032808","Diario","Ocasional"
"033600","Diario","Ocasional"
"032809","Diario","Ocasional"
"032807","Diario","Ocasional"
"000906","Navegante Lisboa","Mensal"
"005956","Navegante Lisboa","Mensal"
"005926","Navegante Lisboa","Mensal"
"000996","Navegante Lisboa","Mensal"
"001056","Navegante Lisboa","Mensal"
"000900","Navegante Metropolitano","Mensal"
"005920","Navegante Metropolitano","Mensal"
"000990","Navegante Metropolitano","Mensal"
"000930","Navegante Metropolitano","Mensal"
"005950","Navegante Metropolitano","Mensal"
"000736","Navegante Metropolitano","Mensal"
"001020","Navegante Metropolitano","Mensal"
"001050","Navegante Metropolitano","Mensal"
"000723","Navegante Metropolitano","Mensal"
"001069","Navegante Metropolitano","Mensal"
"006180","Navegante Metropolitano","Mensal"
"000734","Navegante Metropolitano","Mensal"
"000724","Navegante Metropolitano","Mensal"
"000911","Navegante Odivelas","Mensal"
"005961","Navegante Odivelas","Mensal"
"001061","Navegante Odivelas","Mensal"
"000305","Outro","Outro"
"009240","Outro","Outro"
"009037","Outro","Outro"
"009013","Outro","Outro"
"000300","Outro","Outro"
"033596","Outro","Outro"
"011632","Outro","Outro"
"010932","Outro","Outro"
"009242","Outro","Outro"
"011032","Outro","Outro"
"011532","Outro","Outro"
"009250","Outro","Outro"
"006150","Sub23","Mensal"
"007650","Sub23","Mensal"
"006171","Sub23","Mensal"
"006181","Sub23","Mensal"
"007671","Sub23","Mensal"
"009689","Sub23","Mensal"
"009691","Sub23","Mensal"
"006118","Sub23","Mensal"
"006116","Sub23","Mensal"
"007618","Sub23","Mensal"
"009682","Sub23","Mensal"
"007616","Sub23","Mensal"
"007617","Sub23","Mensal"
"006117","Sub23","Mensal"
"006100","Sub23","Mensal"
"007600","Sub23","Mensal"
"006121","Sub23","Mensal"
"009684","Sub23","Mensal"
"009687","Sub23","Mensal"
"006156","Sub23","Mensal"
"008990","Sub23","Mensal"
"009232","Trabalhador","Mensal"
"009258","Trabalhador","Mensal"
"009233","Trabalhador","Mensal"
"009432","Trabalhador","Mensal"
"009132","Trabalhador","Mensal"
"009235","Trabalhador","Mensal"
"009732","Trabalhador","Mensal"
"009239","Trabalhador","Mensal"
"009234","Trabalhador","Mensal"
"009243","Trabalhador","Mensal"
"009257","Trabalhador","Mensal"
"009244","Trabalhador","Mensal"
"009251","Trabalhador","Mensal"
"032779","Viagem","Ocasional"
"033595","Viagem","Ocasional"
"033593","Viagem","Ocasional"
"033589","Viagem","Ocasional"
"033592","Zapping","Ocasional"
